[2026-04-03 10:20:42] ❌ LOSS R$-2000.00
[2026-04-03 10:20:42] ❌ LOSS R$-2000.00
[2026-04-03 10:21:42] ❌ LOSS R$-2000.00
[2026-04-03 10:21:42] ❌ LOSS R$-2000.00
[2026-04-03 10:22:42] ❌ LOSS R$-2000.00
[2026-04-03 10:22:42] ❌ LOSS R$-2000.00
[2026-04-03 10:23:45] ✅ WIN +R$1700.00
[2026-04-03 10:23:46] ✅ WIN +R$1700.00
[2026-04-03 10:54:42] ❌ LOSS R$-2000.00
[2026-04-03 10:54:42] ❌ LOSS R$-2000.00
[2026-04-03 10:55:42] ❌ LOSS R$-2000.00
[2026-04-03 10:55:42] ❌ LOSS R$-2000.00
[2026-04-03 10:56:43] ✅ WIN +R$1700.00
[2026-04-03 10:56:43] ✅ WIN +R$1700.00
[2026-04-03 13:04:42] ✅ WIN +R$1700.00
[2026-04-03 13:04:42] ✅ WIN +R$1700.00
[2026-04-03 13:19:42] ✅ WIN +R$1.70
[2026-04-03 13:19:42] ✅ WIN +R$1.70
[2026-04-03 13:19:42] ✅ WIN +R$1.70
[2026-04-03 13:20:42] ✅ WIN +R$1.70
[2026-04-03 13:20:42] ✅ WIN +R$1.70
[2026-04-03 13:20:42] ✅ WIN +R$1.70
[2026-04-03 14:30:42] ❌ LOSS R$-2000.00
[2026-04-03 14:30:42] ❌ LOSS R$-2000.00
[2026-04-03 14:31:42] ❌ LOSS R$-2000.00
[2026-04-03 14:31:42] ❌ LOSS R$-2000.00
[2026-04-03 15:33:42] ✅ WIN +R$1700.00
[2026-04-03 15:33:42] ✅ WIN +R$1700.00
[2026-04-03 17:21:38] ✅ WIN +R$1700.00
[2026-04-03 17:21:38] ✅ WIN +R$1700.00
[2026-04-03 23:35:38] ✅ WIN +R$1.70
[2026-04-04 01:23:38] ✅ WIN +R$1.70
[2026-04-04 08:55:39] ✅ WIN +R$1700.00
[2026-04-04 08:55:39] ✅ WIN +R$1700.00
[2026-04-04 09:20:39] ✅ WIN +R$1700.00
[2026-04-04 09:20:39] ✅ WIN +R$1700.00
[2026-04-04 09:21:38] ✅ WIN +R$1700.00
[2026-04-04 09:21:39] ✅ WIN +R$1700.00
[2026-04-04 22:01:39] ✅ WIN +R$1700.00
[2026-04-05 01:35:38] ✅ WIN +R$1700.00
[2026-04-05 16:21:34] ❌ LOSS R$-200.00 | ID 13773134826
[2026-04-05 16:22:34] ✅ WIN +R$170.00 | ID 13773138700
[2026-04-05 16:31:34] ❌ LOSS R$-200.00 | ID 13773158446
[2026-04-05 16:33:34] ❌ LOSS R$-200.00 | ID 13773162667
[2026-04-05 16:33:35] ❌ LOSS R$-200.00 | ID 13773162676
[2026-04-05 16:33:35] ❌ LOSS R$-200.00 | ID 13773162692
[2026-04-05 16:33:35] ❌ LOSS R$-200.00 | ID 13773162714
[2026-04-05 16:33:35] ❌ LOSS R$-200.00 | ID 13773162706
[2026-04-05 16:33:35] ❌ LOSS R$-200.00 | ID 13773162723
[2026-04-05 16:33:35] ❌ LOSS R$-200.00 | ID 13773162728
[2026-04-05 16:40:34] ❌ LOSS R$-200.00 | ID 13773182587
[2026-04-05 16:40:34] ❌ LOSS R$-200.00 | ID 13773182607
[2026-04-05 16:40:34] ❌ LOSS R$-200.00 | ID 13773182600
[2026-04-05 16:41:34] ❌ LOSS R$-200.00 | ID 13773184539
[2026-04-05 16:41:35] ❌ LOSS R$-200.00 | ID 13773184550
[2026-04-05 16:41:35] ❌ LOSS R$-200.00 | ID 13773184558
[2026-04-05 16:41:35] ❌ LOSS R$-200.00 | ID 13773184584
[2026-04-05 16:41:35] ❌ LOSS R$-200.00 | ID 13773184567
[2026-04-05 16:41:35] ❌ LOSS R$-200.00 | ID 13773184606
[2026-04-05 16:41:35] ❌ LOSS R$-200.00 | ID 13773184613
[2026-04-05 16:41:35] ❌ LOSS R$-200.00 | ID 13773184593
[2026-04-05 16:42:39] ✅ WIN +R$170.00 | ID 13773187024
[2026-04-05 16:42:39] ✅ WIN +R$170.00 | ID 13773186985
[2026-04-05 16:42:39] ✅ WIN +R$170.00 | ID 13773187075
[2026-04-05 16:42:39] ✅ WIN +R$170.00 | ID 13773187103
[2026-04-05 16:42:39] ✅ WIN +R$170.00 | ID 13773187009
[2026-04-05 16:42:39] ✅ WIN +R$170.00 | ID 13773187095
[2026-04-05 16:42:39] ✅ WIN +R$170.00 | ID 13773187053
[2026-04-05 16:42:39] ✅ WIN +R$170.00 | ID 13773187136
[2026-04-05 16:42:39] ✅ WIN +R$170.00 | ID 13773187170
[2026-04-05 16:42:39] ✅ WIN +R$170.00 | ID 13773187083
[2026-04-05 16:42:39] ✅ WIN +R$170.00 | ID 13773187190
[2026-04-05 16:42:39] ✅ WIN +R$170.00 | ID 13773187202
[2026-04-05 16:42:39] ✅ WIN +R$170.00 | ID 13773187207
[2026-04-05 16:42:39] ✅ WIN +R$170.00 | ID 13773187179
[2026-04-05 16:42:39] ✅ WIN +R$170.00 | ID 13773187198
[2026-04-05 16:42:39] ✅ WIN +R$170.00 | ID 13773187146
[2026-04-05 16:43:34] ✅ WIN +R$170.00 | ID 13773190096
[2026-04-05 16:43:34] ✅ WIN +R$170.00 | ID 13773190118
[2026-04-05 16:43:34] ✅ WIN +R$170.00 | ID 13773190143
[2026-04-05 16:43:34] ✅ WIN +R$170.00 | ID 13773190226
[2026-04-05 17:00:34] ❌ LOSS R$-200.00 | ID 13773231644
[2026-04-05 17:00:34] ❌ LOSS R$-200.00 | ID 13773231623
[2026-04-05 17:00:34] ❌ LOSS R$-200.00 | ID 13773231664
[2026-04-05 17:00:34] ❌ LOSS R$-200.00 | ID 13773232111
[2026-04-05 17:00:35] ❌ LOSS R$-200.00 | ID 13773232137
[2026-04-05 17:00:35] ❌ LOSS R$-200.00 | ID 13773232150
[2026-04-05 17:00:35] ❌ LOSS R$-200.00 | ID 13773232201
[2026-04-05 17:00:35] ❌ LOSS R$-200.00 | ID 13773232181
[2026-04-05 17:00:35] ❌ LOSS R$-200.00 | ID 13773232161
[2026-04-05 17:02:34] ❌ LOSS R$-200.00 | ID 13773236297
[2026-04-05 17:02:35] ❌ LOSS R$-200.00 | ID 13773236357
[2026-04-05 17:02:35] ❌ LOSS R$-200.00 | ID 13773236396
[2026-04-05 17:02:35] ❌ LOSS R$-200.00 | ID 13773236329
[2026-04-05 17:02:35] ❌ LOSS R$-200.00 | ID 13773236525
[2026-04-05 17:02:35] ❌ LOSS R$-200.00 | ID 13773236627
[2026-04-05 17:02:35] ❌ LOSS R$-200.00 | ID 13773236465
[2026-04-05 17:02:35] ❌ LOSS R$-200.00 | ID 13773236403
[2026-04-05 17:02:35] ❌ LOSS R$-200.00 | ID 13773236586
[2026-04-05 17:02:35] ❌ LOSS R$-200.00 | ID 13773236663
[2026-04-05 17:03:34] ❌ LOSS R$-200.00 | ID 13773239147
[2026-04-05 17:03:34] ❌ LOSS R$-200.00 | ID 13773239161
[2026-04-05 17:03:34] ❌ LOSS R$-200.00 | ID 13773239174
[2026-04-05 17:03:35] ❌ LOSS R$-200.00 | ID 13773239195
[2026-04-05 17:03:36] ❌ LOSS R$-200.00 | ID 13773239202
[2026-04-05 17:03:36] ❌ LOSS R$-200.00 | ID 13773239215
[2026-04-05 17:03:36] ❌ LOSS R$-200.00 | ID 13773239236
[2026-04-05 17:03:36] ❌ LOSS R$-200.00 | ID 13773239252
[2026-04-05 17:03:36] ❌ LOSS R$-200.00 | ID 13773239260
[2026-04-05 17:03:36] ❌ LOSS R$-200.00 | ID 13773239248
[2026-04-05 17:03:36] ❌ LOSS R$-200.00 | ID 13773239295
[2026-04-05 17:03:36] ❌ LOSS R$-200.00 | ID 13773239279
[2026-04-05 17:03:36] ❌ LOSS R$-200.00 | ID 13773239268
[2026-04-05 17:03:36] ❌ LOSS R$-200.00 | ID 13773239226
[2026-04-05 17:04:45] ❌ LOSS R$-200.00 | ID 13773241369
[2026-04-05 17:04:45] ❌ LOSS R$-200.00 | ID 13773241332
[2026-04-05 17:04:45] ❌ LOSS R$-200.00 | ID 13773241363
[2026-04-05 17:04:45] ❌ LOSS R$-200.00 | ID 13773241387
[2026-04-05 17:04:45] ❌ LOSS R$-200.00 | ID 13773241317
